subject,total_queries,time(secs)
AssetTransfer-Mode.states,64,259.44
AssetTransferFixed-Mode.states,64,259.12
Auction-Mode.epa,3,11.67
AuctionEnded-Mode.epa,3,11.87
AuctionWithdraw-Mode.epa,4,16.4
BasicProvenance-Mode.states,2,6.23
BasicProvenanceFixed-Mode.states,2,6.43
CrowdfundingTime_Base-Mode.epa,3,10.72
CrowdfundingTime_BaseBalance-Mode.epa,7,28.51
CrowdfundingTime_BaseBalanceFix-Mode.epa,6,22.65
DefectiveComponentCounter-Mode.states,1,1.94
DefectiveComponentCounterFixed-Mode.states,1,2.33
DigitalLocker-Mode.states,23,90.47
DigitalLockerFixed-Mode.states,23,87.18
EPXCrowdsale-Mode.epa,4,36.46
EPXCrowdsale-Mode.states,16,213.61
EPXCrowdsaleIsCrowdsaleClosed-Mode.epa,7,62.98
EscrowVault-Mode.epa,5,19.82
EscrowVault-Mode.states,9,34.6
FrequentFlyerRewardsCalculator-Mode.states,1,1.99
HelloBlockchain-Mode.states,1,3.38
HelloBlockchainFixed-Mode.states,1,2.98
RefrigeratedTransportation-Mode.states,4,14.76
RefrigeratedTransportationFixed-Mode.states,4,14.73
RefundEscrow-Mode.epa,4,15.6
RefundEscrow-Mode.states,4,14.89
RefundEscrowWithdraw-Mode.epa,7,29.68
RockPaperScissors-Mode.epa,3,10.01
RockPaperScissors-Mode.states,8,28.18
RoomThermostat-Mode.states,1,2.92
SimpleAuction-Mode.epa,8,30.92
SimpleAuctionEnded-Mode.epa,8,30.39
SimpleAuctionHB-Mode.states,10,39.53
SimpleAuctionTime-Mode.epa,12,45.41
SimpleMarketplace-Mode.states,2,6.41
SimpleMarketplaceFixed-Mode.states,2,6.46
ValidatorAuction-Mode.epa,7,40.41
ValidatorAuction-Mode.states,10,48.31
ValidatorAuction_withdraw-Mode.epa,13,84.2
EtherstoreReentrancy-Mode.epa,18,216.0
EtherstoreReentrancyFixed-Mode.epa,9,425.62
EtherstoreReentrancyFixed_lock-Mode.epa,12,828.23
ReentranceReentrancy-Mode.epa,16,344.67
ReentranceReentrancyFixed-Mode.epa,7,393.97
ReentranceReentrancyFixed_lock-Mode.epa,9,815.09
Reentrancy_daoReentrancy-Mode.epa,22,356.81
Reentrancy_daoReentrancyFixed-Mode.epa,7,406.87
Reentrancy_daoReentrancyFixed_lock-Mode.epa,11,450.39
Reentrancy_simpleReentrancy-Mode.epa,22,362.54
Reentrancy_simpleReentrancyFixed-Mode.epa,8,197.93
Reentrancy_simpleReentrancyFixed_lock-Mode.epa,11,871.62
Simple_daoReentrancy-Mode.epa,16,338.05
Simple_daoReentrancyFixed-Mode.epa,7,403.61
Simple_daoReentrancyFixed_lock-Mode.epa,9,818.9
EtherstoreOriginalReentrancy-Mode.epa,3,157.02
ReentranceOriginalReentrancy-Mode.epa,3,373.78
Reentrancy_daoOriginalReentrancy-Mode.epa,3,92.97
Reentrancy_simpleOriginalReentrancy-Mode.epa,4,59.62
Simple_daoOriginalReentrancy-Mode.epa,3,388.46
