Type,TO?,feasible,time(sec)
QUERY_REDUCE_COMBINATION,False,True,1.5058135986328125
QUERY_REDUCE_COMBINATION,True,False,600.0172991752625
QUERY_REDUCE_COMBINATION,True,False,600.0101232528687
QUERY_REDUCE_COMBINATION,True,False,600.0194599628448
QUERY_REDUCE_COMBINATION,False,True,1.4785380363464355
QUERY_REDUCE_COMBINATION,True,False,600.0056517124176
QUERY_REDUCE_COMBINATION,True,False,600.0042970180511
QUERY_REDUCE_COMBINATION,False,True,1.471491813659668
QUERY_NORMAL,False,True,1.5657992362976074
QUERY_NORMAL,False,True,1.475032091140747
QUERY_NORMAL,False,True,1.5519845485687256
QUERY_NORMAL,False,False,1.3375043869018555
QUERY_NORMAL,False,True,1.5478930473327637
QUERY_NORMAL,False,True,1.5336472988128662
QUERY_NORMAL,False,True,1.5316579341888428
QUERY_NORMAL,False,True,1.5252876281738281
QUERY_NORMAL,False,False,1.3049824237823486
QUERY_NORMAL,False,False,1.319580078125
QUERY_NORMAL,False,True,1.601466417312622
QUERY_NORMAL,False,False,1.2972533702850342
QUERY_NORMAL,False,True,1.5937433242797852
QUERY_NORMAL,False,True,1.5175626277923584
QUERY_NORMAL,False,True,1.4990010261535645
QUERY_NORMAL_CONSTRUCTOR,False,True,1.5576577186584473
QUERY_NORMAL_CONSTRUCTOR,False,False,1.366180658340454
QUERY_NORMAL_CONSTRUCTOR,False,False,1.2859773635864258
