subject,total_queries,time(secs)
EtherstoreReentrancy-Mode.epa,21,223.04
EtherstoreReentrancyFixed-Mode.epa,18,852.46
ReentranceReentrancy-Mode.epa,16,246.67
ReentranceReentrancyFixed-Mode.epa,14,772.6
Reentrancy_daoReentrancy-Mode.epa,22,223.79
Reentrancy_daoReentrancyFixed-Mode.epa,11,243.15
Reentrancy_simpleReentrancy-Mode.epa,22,255.83
Reentrancy_simpleReentrancyFixed-Mode.epa,11,850.1
Simple_daoReentrancy-Mode.epa,16,251.04
Simple_daoReentrancyFixed-Mode.epa,14,707.53
AssetTransfer-Mode.states,64,94.43
AssetTransferFixed-Mode.states,64,94.65
Auction-Mode.epa,3,4.65
AuctionEnded-Mode.epa,3,4.67
AuctionWithdraw-Mode.epa,4,6.41
BasicProvenance-Mode.states,2,2.65
BasicProvenanceFixed-Mode.states,2,2.66
CrowdfundingTime_Base-Mode.epa,3,4.36
CrowdfundingTime_BaseBalance-Mode.epa,7,11.76
CrowdfundingTime_BaseBalanceFix-Mode.epa,6,10.21
DefectiveComponentCounter-Mode.states,1,1.38
DefectiveComponentCounterFixed-Mode.states,1,1.34
DigitalLocker-Mode.states,23,33.87
DigitalLockerFixed-Mode.states,23,32.41
EPXCrowdsale-Mode.epa,4,15.56
EPXCrowdsale-Mode.states,16,70.96
EPXCrowdsaleIsCrowdsaleClosed-Mode.epa,7,26.38
EscrowVault-Mode.epa,5,7.65
EscrowVault-Mode.states,9,13.18
EtherstoreOriginalReentrancy-Mode.epa,3,87.05
FrequentFlyerRewardsCalculator-Mode.states,1,1.46
HelloBlockchain-Mode.states,1,1.34
HelloBlockchainFixed-Mode.states,1,1.32
ReentranceOriginalReentrancy-Mode.epa,3,411.39
Reentrancy_daoOriginalReentrancy-Mode.epa,3,54.38
Reentrancy_simpleOriginalReentrancy-Mode.epa,3,78.86
RefrigeratedTransportation-Mode.states,4,5.69
RefrigeratedTransportationFixed-Mode.states,4,5.64
RefundEscrow-Mode.epa,4,6.26
RefundEscrow-Mode.states,4,5.87
RefundEscrowWithdraw-Mode.epa,7,11.39
RockPaperScissors-Mode.epa,3,4.27
RockPaperScissors-Mode.states,8,10.99
RoomThermostat-Mode.states,1,1.32
SimpleAuction-Mode.epa,8,12.24
SimpleAuctionEnded-Mode.epa,8,11.74
SimpleAuctionHB-Mode.states,10,15.19
SimpleAuctionTime-Mode.epa,12,17.37
SimpleMarketplace-Mode.states,2,2.63
SimpleMarketplaceFixed-Mode.states,2,2.6
Simple_daoOriginalReentrancy-Mode.epa,3,357.54
ValidatorAuction-Mode.epa,7,16.19
ValidatorAuction-Mode.states,10,18.18
ValidatorAuction_withdraw-Mode.epa,13,31.47
